brand,period,price
7-Eleven,2018-07-01,2.848511793335857
7-Eleven,2018-07-02,2.8386861810755972
7-Eleven,2018-07-03,2.8351502870652245
Alon,2018-07-01,2.946786148238145
Alon,2018-07-02,2.937941501103748
Alon,2018-07-03,2.955369426751596
CITGO,2018-07-01,2.828322368421054
CITGO,2018-07-02,2.821499013806709
CITGO,2018-07-03,2.8078838174273884
Chevron,2018-07-01,2.8873992118823817
Chevron,2018-07-02,2.8777973568281943
Chevron,2018-07-03,2.8717877094972075
Conoco,2018-07-01,2.831471282454763
Conoco,2018-07-02,2.8299843993759763
Conoco,2018-07-03,2.8326067527308787
Exxon,2018-07-01,2.8418039950062535
Exxon,2018-07-02,2.8287429519071656
Exxon,2018-07-03,2.8294253450439646
Phillips 66,2018-07-01,2.8435637149028006
Phillips 66,2018-07-02,2.8294391716997342
Phillips 66,2018-07-03,2.834354978354972
Shell,2018-07-01,2.870024793388476
Shell,2018-07-02,
Shell,2018-07-03,2.8603190070776825
Texaco,2018-07-01,2.925024999999989
Texaco,2018-07-02,2.9352976190476006
Texaco,2018-07-03,2.934730368968765
Valero,2018-07-01,2.8195314264207822
Valero,2018-07-02,2.8263214702450794
Valero,2018-07-03,2.8306920106920677
